package,published,title,depends_count,suggests_count,tidyverse_happy,has_vignette_build,has_tests,reverse_count,dl_last_month,ci,test_coverage,forks,stars,watchers,last_commit,last_issue_closed,contributors
ggcorrplot,2019-05-19,Visualization of a Correlation Matrix using 'ggplot2',1,2,FALSE,FALSE,FALSE,6,16099,Travis,NONE,31,128,6,14.9333333333333,,
ggdistribute,,,,,,,,,,,,,,,,,
ggedit,2020-06-02,Interactive 'ggplot2' Layer and Theme Aesthetic Editor,2,2,TRUE,FALSE,TRUE,0,1882,Travis,CodeCov,28,221,19,6.8,,
ggforce,2020-06-23,Accelerating 'ggplot2',2,5,TRUE,FALSE,FALSE,40,57825,NONE,NONE,73,602,27,6.1,,
ggfortify,2020-10-02,Data Visualization Tools for Statistical Analysis Results,2,26,TRUE,TRUE,TRUE,12,32332,NONE,,59,451,21,2.73333333333333,,
gghighlight,2020-12-12,Highlight Lines and Points in 'ggplot2',2,5,TRUE,TRUE,TRUE,0,4270,NONE,NONE,18,429,9,0.366666666666667,,
ggimage,2020-04-02,Use Image in 'ggplot2',2,5,TRUE,FALSE,FALSE,4,4083,NONE,NONE,25,116,6,46.4333333333333,,
ggiraph,2020-07-01,Make 'ggplot2' Graphics Interactive,,8,TRUE,TRUE,TRUE,4,8451,"Travis, Appveyor",CodeCov,55,455,20,,,
ggmap,2019-02-05,Spatial Visualization with ggplot2,2,3,TRUE,FALSE,TRUE,26,47716,"Travis, Appveyor",NONE,224,640,50,22.9,,
ggplotAssist,2017-11-12,'RStudio' Addin for Teaching and Learning 'ggplot2',1,3,TRUE,TRUE,FALSE,0,984,NONE,,23,64,5,37.8666666666667,,
ggplotgui,2017-07-08,Create Ggplots via a Graphical User Interface,1,,TRUE,FALSE,FALSE,0,1135,Travis,NONE,39,112,8,,,
ggpubr,2020-06-27,'ggplot2' Based Publication Ready Plots,2,4,TRUE,FALSE,FALSE,76,226122,Travis,NONE,105,678,28,2.13333333333333,,
ggraph,2020-11-16,An Implementation of Grammar of Graphics for Graphs and Networks,2,8,TRUE,TRUE,FALSE,27,47004,NONE,CodeCov,90,784,40,1.23333333333333,,
ggrepel,2020-12-16,"Automatically Position Non-Overlapping Text Labels with
'ggplot2'",2,10,TRUE,TRUE,TRUE,175,321731,Travis,NONE,82,805,33,,,
ggridges,2020-01-12,Ridgeline Plots in 'ggplot2',1,8,TRUE,TRUE,TRUE,36,48381,"Travis, Appveyor",CodeCov,21,326,14,11.5333333333333,,
ggsci,2018-05-14,"Scientific Journal and Sci-Fi Themed Color Palettes for
'ggplot2'",1,4,TRUE,TRUE,FALSE,9,183951,"Travis, Appveyor",NONE,40,366,17,31.8,,
ggseas,2018-06-12,'stats' for Seasonal Adjustment on the Fly with 'ggplot2',2,3,TRUE,TRUE,TRUE,0,1444,Travis,NONE,5,66,7,51.1,,
ggsn,2019-02-18,"North Symbols and Scale Bars for Maps Created with 'ggplot2' or
'ggmap'",3,,FALSE,FALSE,FALSE,2,2116,NONE,,12,144,11,22.4333333333333,,
ggstance,2020-12-17,Horizontal 'ggplot2' Components,1,4,TRUE,FALSE,TRUE,6,18416,NONE,NONE,19,190,13,0.2,,
ggstatsplot,2020-12-03,'ggplot2' Based Plots with Statistical Details,1,7,TRUE,TRUE,TRUE,0,7321,NONE,,128,1025,37,0.666666666666667,,
ggtern,2020-04-11,"An Extension to 'ggplot2', for the Creation of Ternary Diagrams",2,,FALSE,FALSE,FALSE,3,2120,,,,,,,,
ggThemeAssist,2016-08-13,Add-in to Customize 'ggplot2' Themes,1,1,TRUE,FALSE,FALSE,0,1631,Travis,NONE,33,371,17,53.1,,
ggthemes,2019-05-13,"Extra Themes, Scales and Geoms for 'ggplot2'",1,15,TRUE,FALSE,TRUE,47,57733,"Travis, Appveyor",CodeCov,208,1091,66,,,
ggvis,2020-12-04,Interactive Grammar of Graphics,1,5,TRUE,FALSE,TRUE,6,10124,,,,,,,,
gifski,2018-09-28,Highest Quality GIF Encoder,,2,,FALSE,FALSE,1,13673,"Travis, Appveyor",NONE,1,45,2,29.5666666666667,,
glmnet,2020-06-16,Lasso and Elastic-Net Regularized Generalized Linear Models,2,3,FALSE,TRUE,TRUE,287,75468,,,,,,,,
gmodels,2018-06-25,Various R Programming Tools for Model Fitting,1,5,FALSE,FALSE,FALSE,16,46739,,,,,,,,
googleLanguageR,2020-04-19,"Call Google's 'Natural Language' API, 'Cloud Translation' API,
'Cloud Speech' API and 'Cloud Text-to-Speech' API",1,10,TRUE,TRUE,TRUE,1,2142,Travis,CodeCov,30,139,19,8.23333333333333,,
gpclib,2020-02-28,General Polygon Clipping Library for R,2,,FALSE,FALSE,FALSE,0,3064,NONE,,6,8,3,,,
gridExtra,2017-09-09,"Miscellaneous Functions for ""Grid"" Graphics",,5,FALSE,TRUE,TRUE,422,305839,,,,,,,,
gtable,2019-03-25,Arrange 'Grobs' in Tables,1,6,FALSE,TRUE,TRUE,75,438524,Travis,CodeCov,15,65,10,21.2,,
gtrendsR,2020-09-12,Perform and Display Google Trends Queries,1,3,TRUE,FALSE,FALSE,1,80908,NONE,,104,248,34,1.56666666666667,,
heatmaply,2020-08-25,Interactive Cluster Heat Maps Using 'plotly',3,6,TRUE,TRUE,TRUE,16,7505,Travis,CodeCov,59,265,23,,,
here,2020-12-13,A Simpler Way to Find Your Files,,11,FALSE,TRUE,TRUE,11,53481,NONE,CodeCov,26,237,6,0.3,,
hexbin,2020-02-03,Hexagonal Binning Routines,2,5,FALSE,TRUE,FALSE,41,173548,Travis,NONE,8,23,2,,,
hexSticker,2020-12-05,Create Hexagon Sticker in R,1,1,TRUE,FALSE,FALSE,1,1259,NONE,NONE,108,436,16,0.166666666666667,,
highcharter,2020-07-26,A Wrapper for the 'Highcharts' Library,1,12,TRUE,FALSE,TRUE,7,11696,NONE,CodeCov,126,571,38,5,,
Hmisc,2020-11-29,Harrell Miscellaneous,4,8,FALSE,FALSE,FALSE,226,491699,NONE,,69,160,12,,,
hrbrthemes,2020-03-06,"Additional Themes, Theme Components and Utilities for 'ggplot2'",1,8,TRUE,TRUE,TRUE,5,17327,Travis,CodeCov,73,865,25,5,,
htmlwidgets,2020-12-10,HTML Widgets for R,,3,TRUE,TRUE,TRUE,196,439715,NONE,NONE,196,681,67,0.433333333333333,,
igraph,2020-10-06,Network Analysis and Visualization,1,9,TRUE,FALSE,TRUE,681,284190,"Travis, Appveyor",NONE,285,1090,78,0.1,,
iml,2020-09-24,Interpretable Machine Learning,,20,TRUE,TRUE,TRUE,2,7107,NONE,CodeCov,74,366,20,2.53333333333333,,
infer,2020-07-14,Tidy Statistical Inference,1,10,TRUE,TRUE,TRUE,2,15925,Travis,CodeCov,63,517,26,2.4,,
inspectdf,2020-09-07,"Inspection, Comparison and Visualisation of Data Frames",1,1,TRUE,FALSE,TRUE,0,1318,NONE,CodeCov,17,185,13,3.56666666666667,,
installr,2019-08-02,"Using R to Install Stuff on Windows OS (Such As: R, 'Rtools',
'RStudio', 'Git', and More!)",3,10,,FALSE,FALSE,1,43712,"Travis, Appveyor",NONE,71,205,18,,,
installr,2019-08-02,"Using R to Install Stuff on Windows OS (Such As: R, 'Rtools',
'RStudio', 'Git', and More!)",3,10,,FALSE,FALSE,1,43712,"Travis, Appveyor",NONE,71,205,18,,,
janitor,2020-04-12,Simple Tools for Examining and Cleaning Dirty Data,1,6,TRUE,TRUE,TRUE,25,67796,NONE,CodeCov,94,928,29,0.1,,
Kmisc,,,,,,,,,,,,,,,,,
knitr,2020-09-22,A General-Purpose Package for Dynamic Report Generation in R,1,20,TRUE,TRUE,FALSE,365,804160,NONE,CodeCov,809,2003,133,0.3,,
komaletter,2020-06-29,Simply Beautiful PDF Letters from Markdown,1,1,FALSE,TRUE,FALSE,0,542,"Travis, Appveyor",NONE,8,45,3,5.9,,
koRpus,2020-12-11,"Text Analysis with Emphasis on POS Tagging, Readability and
Lexical Diversity",1,1,FALSE,TRUE,TRUE,2,4162,NONE,,7,34,4,,,
lambda.tools,,,,,,,,,,,,,,,,,
leaflet,2019-11-16,"Create Interactive Web Maps with the JavaScript 'Leaflet'
Library",1,9,TRUE,FALSE,TRUE,68,63978,NONE,NONE,444,646,105,0.266666666666667,,
leaflet.extras,2018-04-21,Extra Functionality for 'leaflet' Package,2,2,TRUE,FALSE,FALSE,8,4894,"Travis, Appveyor",NONE,60,188,25,18.9333333333333,,
leaflet.minicharts,2019-11-27,Mini Charts for Interactive Maps,1,6,FALSE,TRUE,TRUE,2,1414,,,,,,,,
leaps,2020-01-16,Regression Subset Selection,,1,,FALSE,FALSE,29,132371,,,,,,,,
lemon,2020-06-08,Freshing Up your 'ggplot2' Plots,1,4,TRUE,TRUE,TRUE,1,2352,NONE,NONE,7,143,6,35.2333333333333,,
lessR,2020-10-13,"Less Code, More Results",1,4,FALSE,TRUE,FALSE,1,2000,,,,,,,,
liftr,2019-06-19,Containerize R Markdown Documents for Continuous Reproducibility,1,,TRUE,TRUE,FALSE,0,703,"Travis, Appveyor",NONE,19,151,14,18.4333333333333,,
likert,2016-12-31,Analysis and Visualization Likert Items,1,1,FALSE,TRUE,FALSE,2,4277,Travis,NONE,104,214,20,18.9,,
lime,2019-11-12,Local Interpretable Model-Agnostic Explanations,,12,TRUE,TRUE,TRUE,0,2503,"Travis, Appveyor",CodeCov,98,425,34,13.5666666666667,,
linemap,2017-09-15,Line Maps,1,,FALSE,FALSE,FALSE,0,575,,,,,,,,
liquidSVM,2019-09-14,A Fast and Versatile SVM Package,2,4,,TRUE,TRUE,0,2146,NONE,,5,48,3,41.8666666666667,,
live,2020-01-15,Local Interpretable (Model-Agnostic) Visual Explanations,1,8,TRUE,TRUE,TRUE,0,582,Travis,CodeCov,3,34,7,16.3333333333333,,
